"Submission Date",Cinsiyet,"Yan haklarınız","Şirketiniz hangi lokasyon merkezli?","Şirketiniz hangi şehirde? (Eğer Türkiye ise)","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Hangi pozisyonda çalışıyorsunuz?","Seviyeniz nedir?",Deneyim,"Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?","Kazancınız hangi para biriminde?","Maaş tipi","Ara zam / iyileştirme aldıysanız oranı hangi aralıkta?","Maaş / Aylık Türk Lirası cinsinden"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Tıbbi izin",Türkiye,"34 İstanbul",Hybrid,151-300,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL","Türk Lirası",Net,"%51 ve üzeri","20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Eğitim ödemeleri
Employee stock options
Emeklilik planlama hizmetleri
Tıbbi izin",Türkiye,"06 Ankara",Hybrid,301-600,"Cyber Security Engineer",Junior,"0-1 Yıl","ChatGPT
Linux","Türk Lirası",Net,%11-%20,"20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı",,Remote,1-50,"Fullstack Developer / Engineer",Senior,"9-12 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Linux
SQL",Dolar,Net,,"85.001 TL - 100.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"06 Ankara",Hybrid,1-50,"Software Engineer",Mid,"1-3 Yıl","C# / .NET Framework
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux","Türk Lirası",Net,%36-%50,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Hayat sigortası
Tıbbi izin",Türkiye,"35 İzmir",Remote,1-50,"Frontend Developer / Engineer",Junior,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
PHP","Türk Lirası",Net,%11-%20,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"34 İstanbul",Remote,1-50,"Frontend Developer / Engineer",Junior,"0-1 Yıl","C# / .NET Framework
ChatGPT
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%11-%20,"11.402 TL - 15.000 TL"
"Ağu 5, 2023",Erkek,"Tamamlayıcı sağlık sigortası
Employee stock options","Yurt dışı","34 İstanbul",Hybrid,1-50,"Engineering Manager",Senior,"12 Yıl ve üzeri","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Microsoft Office Araçları
SQL",Dolar,Net,,"100.001 TL - 130.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,1-50,DevOps,Junior,"0-1 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux
NoSQL","Türk Lirası",Net,"%51 ve üzeri","18.001 TL - 20.000 TL"
"Ağu 5, 2023",Erkek,"Tamamlayıcı sağlık sigortası
Tıbbi izin","Yurt dışı",,Hybrid,1-50,"Backend Developer / Engineer",Senior,"9-12 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
NoSQL
SQL",Euro,Brüt,,"85.001 TL - 100.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket aracı
Şirket telefonu
Erzak yardımı
Eğitim ödemeleri",Türkiye,"34 İstanbul",Hybrid,51-150,"Frontend Developer / Engineer",Mid,"5-9 Yıl","C, C++
ChatGPT
Java ve bağlı framework'ler
Ruby
Rust","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerce dhediye çeki
Şirket telefonu
Tamamlayıcı sağlık sigortası
Tıbbi izin","Yurt dışı","34 İstanbul",Remote,51-150,"Fullstack Developer / Engineer",Senior,"9-12 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
SQL","Türk Lirası",Net,,"85.001 TL - 100.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"35 İzmir",Remote,1-50,"Mobile Developer(Cross Platform)",Senior,"5-9 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Brüt,%36-%50,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Remote,"10.000 ve üzeri","Data Scientist",Mid,"3-5 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Python
SQL","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
İşsizlik sigortası",Türkiye,,Hybrid,1.000-5.000,"Tech Lead",Senior,"9-12 Yıl","Java ve bağlı framework'ler","Türk Lirası",Brüt,%36-%50,"85.001 TL - 100.000 TL"
"Ağu 5, 2023",Kadın,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,1-50,"Business Analyst",Mid,"1-3 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Microsoft Office Araçları
Salesforce","Türk Lirası",Net,%21-%35,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Kadın,"Yemek kartı",Türkiye,"61 Trabzon",Ofiste,601-1.000,"Fullstack Developer / Engineer",Junior,"0-1 Yıl","ChatGPT
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL","Türk Lirası",Net,,"11.402 TL - 15.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Tamamlayıcı sağlık sigortası
Hayat sigortası",Türkiye,"34 İstanbul",Hybrid,"10.000 ve üzeri","Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework","Türk Lirası",Brüt,%21-%35,"20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,1-50,"Software Engineer",Junior,"0-1 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%5-%10,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yol / yakıt yardımı
Tıbbi izin",Türkiye,"34 İstanbul",Ofiste,1-50,"System Administrator",Junior,"0-1 Yıl","Linux
Microsoft Office Araçları
SQL","Türk Lirası",Brüt,,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi",Türkiye,"34 İstanbul",Hybrid,151-300,"Frontend Developer / Engineer",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları","Türk Lirası",Net,%11-%20,"11.402 TL - 15.000 TL"
"Ağu 5, 2023","Belirtmek İstemiyorum","Yemek kartı
Personel servisi
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,1.000-5.000,DevOps,Mid,"3-5 Yıl","DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux
NoSQL
Python","Türk Lirası",Net,%36-%50,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası","Yurt dışı","34 İstanbul",Hybrid,151-300,"Business Analyst",Senior,"5-9 Yıl","Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL","Türk Lirası",Brüt,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Hybrid,51-150,"Product Owner",Junior,"1-3 Yıl","Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux","Türk Lirası",Brüt,"%51 ve üzeri","25.001 TL - 30.000 TL"
"Ağu 5, 2023",Kadın,"Yemek kartı
Özel günlerce dhediye çeki
Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı",,Hybrid,1.000-5.000,"Backend Developer / Engineer",Mid,"1-3 Yıl","Java ve bağlı framework'ler",Euro,Net,,"130.001 TL - 160.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Hybrid,51-150,"Backend Developer / Engineer",Junior,"0-1 Yıl","C# / .NET Framework
DevOps araçları
Java ve bağlı framework'ler","Türk Lirası",Net,,"18.001 TL - 20.000 TL"
"Ağu 5, 2023",Erkek,"Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"07 Antalya",Remote,1-50,"Fullstack Developer / Engineer",Senior,"9-12 Yıl","Adobe CC araçları
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Linux
Microsoft Office Araçları
PHP","Türk Lirası",Net,,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası","Yurt dışı","34 İstanbul",Remote,1.000-5.000,"Product Manager",Mid,"3-5 Yıl","ChatGPT
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
Salesforce","Türk Lirası",Net,%36-%50,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Özel günlerce dhediye çeki
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Frontend Developer / Engineer",Mid,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Brüt,,"15.001 TL - 18.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket aracı
Şirket telefonu
Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı","34 İstanbul",Remote,5.000-10.000,"Game Developer / Engineer",Mid,"3-5 Yıl","C# / .NET Framework
ChatGPT
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
PHP
Python","Türk Lirası",Net,%36-%50,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Frontend Developer / Engineer",Senior,"5-9 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"85.001 TL - 100.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Spor salonu üyeliği / indirimi
Özel günlerce dhediye çeki
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Emeklilik planlama hizmetleri
Tıbbi izin","Yurt dışı",,Remote,151-300,"Fullstack Developer / Engineer",Junior,"0-1 Yıl","Javascript / Typescript ve bağlı framework'ler
PHP",Euro,Brüt,%5-%10,"100.001 TL - 130.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası",Türkiye,"34 İstanbul",Remote,301-600,"Backend Developer / Engineer",Senior,"5-9 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
NoSQL
SQL","Türk Lirası",Brüt,%11-%20,"130.001 TL - 160.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,301-600,"Frontend Developer / Engineer",Mid,"3-5 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%5-%10,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Kadın,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası
Hayat sigortası",Türkiye,"34 İstanbul",Hybrid,51-150,"Backend Developer / Engineer",Senior,"9-12 Yıl","C# / .NET Framework
ChatGPT
DevOps araçları
Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 5, 2023","Belirtmek İstemiyorum","Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,51-150,"Business Analyst",Mid,"1-3 Yıl",SQL,"Türk Lirası",Net,%11-%20,"18.001 TL - 20.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Erzak yardımı",Türkiye,"06 Ankara",Remote,301-600,"Software Engineer",Senior,"5-9 Yıl","DevOps araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Linux
SQL","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Remote,1-50,"SAP Consultant",Junior,"0-1 Yıl","ChatGPT
Microsoft Office Araçları
SAP
SQL","Türk Lirası",Net,%21-%35,"11.402 TL - 15.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Hybrid,1.000-5.000,"Mobile Developer(Cross Platform)",Mid,"3-5 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Flutter
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,%36-%50,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"34 İstanbul",Ofiste,51-150,"CTO (Chief Technology Officer)",Senior,"12 Yıl ve üzeri","Adobe CC araçları
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
Microsoft Office Araçları
PHP
Python
SQL","Türk Lirası",Net,%5-%10,"37.001 TL - 45.000 TL"
